dissimilarity,homogeneity,contrast,energy,correlation,ASM,label
9.955342742,0.433514775,526.7228831,0.298431264,0.908665939,0.08906122,1
9.646068548,0.464191322,463.8303427,0.33200684,0.873678293,0.110228542,1
9.49858871,0.455533939,495.4086694,0.311511052,0.943436785,0.097039136,1
8.623891129,0.475188258,482.6507056,0.307564168,0.928413024,0.094595717,1
8.864012097,0.506037308,483.1202621,0.364469793,0.937133515,0.13283823,1
8.379637097,0.481166672,412.265121,0.30873032,0.8755711,0.09531441,1
9.062903226,0.471306532,451.3308468,0.324553537,0.930148059,0.105334999,1
7.702116935,0.507855418,358.2829637,0.315377265,0.904915844,0.099462819,1
8.732862903,0.514004223,477.6322581,0.374488709,0.929501941,0.140241793,1
8.524395161,0.475740891,409.8266129,0.298028098,0.90663442,0.088820747,1
9.375403226,0.439078729,464.8219758,0.287610293,0.929866347,0.082719681,1
10.10292339,0.441039498,525.6589718,0.306700345,0.919798103,0.094065101,1
11.11985887,0.422421458,617.0515121,0.281081867,0.926327466,0.079007016,1
10.14334677,0.438632863,495.2239919,0.292280723,0.911300987,0.085428021,1
8.916330645,0.474678037,456.652621,0.336189078,0.924933461,0.113023096,1
9.367439516,0.451171563,441.7027218,0.312733978,0.867542937,0.097802541,1
7.467943548,0.495954319,329.9340726,0.361324073,0.896809237,0.130555086,1
8.083870968,0.513288603,405.9044355,0.359236403,0.93068524,0.129050793,1
11.04858871,0.472937615,649.9076613,0.333391671,0.924859867,0.111150007,1
8.720665323,0.455090093,409.6964718,0.299432087,0.916098302,0.089659575,1
8.893245968,0.452385447,421.0515121,0.30876794,0.923058482,0.095337641,1
10.22207661,0.484694385,551.7172379,0.35338794,0.908393759,0.124883036,1
9.864012097,0.435681632,572.6571573,0.257174664,0.9519776,0.066138808,1
8.229737903,0.472884863,391.4517137,0.30434795,0.926094559,0.092627675,1
9.321471774,0.484249061,462.7335685,0.346045952,0.900251645,0.119747801,1
9.191532258,0.445339822,436.0320565,0.290716334,0.90639695,0.084515987,1
9.85796371,0.416616662,521.9638105,0.257171582,0.939134487,0.066137223,1
8.023487903,0.502079252,379.065625,0.354049623,0.929082963,0.125351136,1
8.7375,0.448639093,395.3221774,0.312353471,0.889757221,0.097564691,1
9.581653226,0.501734852,509.1237903,0.345463813,0.929352279,0.119345246,1
7.971975806,0.452217268,361.3602823,0.284079842,0.933672917,0.080701357,1
8.817540323,0.48423193,447.3481855,0.344399927,0.936017784,0.11861131,1
9.428326613,0.464137686,457.4664315,0.339760604,0.906237404,0.115437268,1
9.180808212,0.386315403,366.0642542,0.228187885,0.932572626,0.052069711,1
8.706754032,0.452427809,414.6857863,0.309880049,0.922372122,0.096025645,1
9.527318548,0.444453344,520.0331653,0.286528503,0.916402679,0.082098583,1
